averageDistanceVariability,distribSd,finalTime,gravityDecay,nwClustCoef,nwComponents,nwInDegree,nwMeanFlow,nwOutDegree,overlapThreshold,relativeCost,totalCost,totalWaste,transportationCost
4.0,0.1,100.0,10.0,0.0,23.0,0.64,0.7639156249999991,0.64,0.0,0.9396998678003732,3.2889495373013062,0.5110939999999993,3.5
12.0,0.1,100.0,10.0,0.0,22.0,0.66,0.6897484848484836,0.66,0.0,0.8420337733124088,2.9471182065934314,0.5447659999999993,3.5
12.0,0.1,100.0,10.0,0.0,25.0,0.6,0.7005899999999989,0.6,0.0,0.8634003285837614,3.021901150043165,0.5796459999999991,3.5
8.0,0.1,100.0,10.0,0.0,12.0,1.04,0.5869326923076916,1.04,0.0,1.0943919514822167,3.8303718301877576,0.3895899999999996,3.5
16.0,0.1,100.0,10.0,0.0,22.0,0.66,0.6945424242424234,0.66,0.0,1.1350150974490039,3.972552841071514,0.5416019999999996,3.5
16.0,0.1,100.0,10.0,0.00909090909090909,9.0,1.02,0.592001960784313,1.02,0.0,1.618753595958133,5.665637585853466,0.3961579999999996,3.5
16.0,0.1,100.0,10.0,0.0,10.0,1.06,0.6337415094339617,1.06,0.0,1.8753158129012844,6.563605345154497,0.3282339999999999,3.5
16.0,0.1,100.0,10.0,0.0,25.0,0.6,0.7647533333333322,0.6,0.0,0.946099630727562,3.311348707546467,0.5411479999999993,3.5
12.0,0.1,100.0,10.0,0.0,21.0,0.68,0.6037058823529402,0.68,0.0,1.1270426104086069,3.9446491364301233,0.5894799999999996,3.5
12.0,0.1,100.0,10.0,0.00909090909090909,12.0,0.94,0.6226787234042545,0.94,0.0,1.085394206398073,3.7988797223932558,0.41468199999999955,3.5
4.0,0.1,100.0,10.0,0.00909090909090909,10.0,1.08,0.6440629629629618,1.08,0.0,1.19221706098747,4.172759713456147,0.3044119999999997,3.5
16.0,0.1,100.0,10.0,0.00909090909090909,14.0,0.92,0.6716391304347819,0.92,0.0,1.5942372670155813,5.579830434554532,0.38209199999999977,3.5
8.0,0.1,100.0,10.0,0.0,23.0,0.64,0.796318749999999,0.64,0.0,0.9140257935286826,3.1990902773503893,0.4903559999999994,3.5
8.0,0.1,100.0,10.0,0.00909090909090909,10.0,1.1,0.6181727272727262,1.1,0.0,1.4620505601525169,5.117176960533808,0.32000999999999985,3.5
12.0,0.1,100.0,10.0,0.0,6.0,1.14,0.5682631578947365,1.14,0.0,1.913506798385528,6.697273794349348,0.35217999999999977,3.5
8.0,0.1,100.0,10.0,0.0,24.0,0.62,0.6897870967741926,0.62,0.0,0.901335075712343,3.1546727649932005,0.5723319999999993,3.5
4.0,0.1,100.0,10.0,0.00909090909090909,11.0,1.04,0.6175134615384604,1.04,0.0,1.593755260246247,5.578143410861864,0.3577859999999998,3.5
4.0,0.1,100.0,10.0,0.01818181818181818,12.0,1.1,0.6469909090909084,1.1,0.0,1.146213488804796,4.011747210816786,0.2883099999999998,3.5
0.0,0.1,100.0,10.0,0.08454545454545453,10.0,1.64,0.548999999999999,1.64,0.0,1.6056572591589466,0.8028286295794729,0.09964000000000006,0.5
8.0,0.1,100.0,10.0,0.0,18.0,0.8,0.7025274999999993,0.8,0.0,1.6294643675583225,5.703125286454128,0.43797799999999976,3.5
16.0,0.1,100.0,10.0,0.00909090909090909,13.0,1.0,0.6079459999999991,1.0,0.0,1.3729302881745646,4.805256008610972,0.3920539999999996,3.5
16.0,0.1,100.0,10.0,0.0,24.0,0.62,0.8406129032258057,0.62,0.0,1.7675533911053134,6.186436868868598,0.47881999999999963,3.5
12.0,0.1,100.0,10.0,0.00909090909090909,10.0,1.06,0.6467792452830182,1.06,0.0,1.5905409128989936,5.566893195146475,0.3144139999999997,3.5
16.0,0.1,100.0,10.0,0.0,9.0,1.04,0.658346153846153,1.04,0.0,1.9110116578632896,6.688540802521511,0.31531999999999966,3.5
4.0,0.1,100.0,10.0,0.0,11.0,1.1,0.6403945454545444,1.1,0.0,1.0944736715110253,3.8306578502885875,0.2955659999999999,3.5
8.0,0.1,100.0,10.0,0.0,12.0,1.04,0.6649038461538452,1.04,0.0,1.5704153613036338,5.496453764562718,0.3084999999999999,3.5
8.0,0.1,100.0,10.0,0.00909090909090909,10.0,1.08,0.582075925925925,1.08,0.0,1.3715242561061929,4.800334896371673,0.3713579999999998,3.5
4.0,0.1,100.0,10.0,0.0,10.0,1.06,0.6721603773584894,1.06,0.0,1.4051856501147462,4.918149775401609,0.2875099999999998,3.5
8.0,0.1,100.0,10.0,0.0,9.0,1.1,0.5576181818181811,1.1,0.0,1.3858321300615488,4.850412455215422,0.38661999999999985,3.5
0.0,0.1,100.0,10.0,0.1,8.0,1.72,0.5168639534883714,1.72,0.0,1.6558154458658474,0.8279077229329237,0.11099400000000012,0.5
16.0,0.1,100.0,10.0,0.0,10.0,1.06,0.563815094339622,1.06,0.0,1.0765863039850836,3.7680520639477924,0.4023559999999996,3.5
0.0,0.1,100.0,10.0,0.0696969696969697,10.0,1.64,0.5466414634146334,1.64,0.0,1.246730006291187,0.623365003145594,0.10350800000000003,0.5
4.0,0.1,100.0,10.0,0.01818181818181818,9.0,1.42,0.5011154929577459,1.42,0.0,1.079503664459955,3.7782628256098425,0.28841599999999973,3.5
8.0,0.1,100.0,10.0,0.0,11.0,1.06,0.6380471698113196,1.06,0.0,1.3555946595985733,4.7445813085950075,0.32366999999999985,3.5
4.0,0.1,100.0,10.0,0.01818181818181818,11.0,1.06,0.659966037735848,1.06,0.0,1.5857325578378152,5.5500639524323505,0.3004359999999997,3.5
16.0,0.1,100.0,10.0,0.00909090909090909,13.0,1.02,0.6411647058823526,1.02,0.0,1.391483997107881,4.870193989877586,0.34601199999999954,3.5
0.0,0.1,100.0,10.0,0.07272727272727272,9.0,1.84,0.4949456521739123,1.84,0.0,1.5703131813523006,0.7851565906761501,0.08930000000000009,0.5
0.0,0.1,100.0,10.0,0.13333333333333333,9.0,1.86,0.4902365591397843,1.86,0.0,1.5704158975106006,0.7852079487553001,0.08816000000000006,0.5
4.0,0.1,100.0,10.0,0.045454545454545456,8.0,1.42,0.547287323943661,1.42,0.0,1.1188779651019014,3.9160728778566534,0.22285199999999988,3.5
12.0,0.1,100.0,10.0,0.0,24.0,0.62,0.7452064516129021,0.62,0.0,0.892990330344289,3.1254661562050106,0.5379719999999996,3.5
0.0,0.1,100.0,10.0,0.07878787878787878,10.0,1.7,0.5250117647058817,1.7,0.0,1.6991234895617287,0.8495617447808643,0.10748000000000005,0.5
12.0,0.1,100.0,10.0,0.00909090909090909,11.0,1.08,0.6382462962962955,1.08,0.0,0.9714469936026158,3.4000644776091544,0.3106939999999996,3.5
12.0,0.1,100.0,10.0,0.00909090909090909,9.0,1.1,0.5947981818181811,1.1,0.0,1.243476494884867,4.352167732097033,0.3457219999999998,3.5
0.0,0.1,100.0,10.0,0.15303030303030302,10.0,1.88,0.4738765957446803,1.88,0.0,1.5777160648541668,0.788858032427084,0.10911200000000003,0.5
8.0,0.1,100.0,10.0,0.0,10.0,1.08,0.6489499999999994,1.08,0.0,1.209151590065582,4.232030565229538,0.2991339999999998,3.5
4.0,0.1,100.0,10.0,0.0,9.0,1.12,0.6531482142857132,1.12,0.0,1.4743283291960843,5.160149152186294,0.2684739999999998,3.5
12.0,0.1,100.0,10.0,0.00909090909090909,8.0,1.08,0.6324481481481471,1.08,0.0,1.3574140674492627,4.750949236072419,0.31695599999999974,3.5
0.0,0.1,100.0,10.0,0.10727272727272728,9.0,1.92,0.47505624999999907,1.92,0.0,1.3932513771703197,0.6966256885851599,0.08789200000000008,0.5
0.0,0.1,100.0,10.0,0.17515151515151517,8.0,1.9,0.47903368421052567,1.9,0.0,1.5118926144897928,0.755946307244897,0.08983600000000004,0.5
0.0,0.1,100.0,10.0,0.10653679653679653,7.0,1.96,0.4573816326530606,1.96,0.0,1.6461427982824735,0.8230713991412371,0.10353200000000003,0.5
20.0,0.6,100.0,90.0,0.0,12.0,0.92,0.805002173913038,0.92,0.5,1.7093720071185994,5.982802024915097,0.2593979999999999,3.5
20.0,0.6,100.0,90.0,0.0,11.0,0.94,0.783251063829781,0.94,0.5,1.7169382644814417,6.009283925685048,0.2637439999999993,3.5
20.0,0.6,100.0,90.0,0.0,12.0,0.9,0.7889399999999929,0.9,0.5,1.705683350182803,5.969891725639812,0.2899539999999999,3.5
20.0,0.6,100.0,90.0,0.0,19.0,0.84,0.8046880952380894,0.84,0.5,1.4333177377110928,5.016612081988827,0.3240619999999987,3.5
20.0,0.6,100.0,90.0,0.0,17.0,0.84,0.7950142857142811,0.84,0.5,1.5038211396431385,5.263373988750985,0.33218799999999854,3.5
20.0,0.6,100.0,90.0,0.0,15.0,0.94,0.7943553191489283,0.94,0.5,1.65617652543298,5.796617839015431,0.2533059999999999,3.5
20.0,0.6,100.0,90.0,0.0,14.0,0.88,0.7888113636363575,0.88,0.5,1.5847825870026662,5.546739054509333,0.3058459999999988,3.5
20.0,0.6,100.0,90.0,0.0,14.0,0.96,0.7765791666666618,0.96,0.5,1.9324453069454641,6.7635585743091235,0.25448399999999927,3.5
20.0,0.6,100.0,90.0,0.0,11.0,0.94,0.7756340425531857,0.94,0.5,1.7699358958037186,6.1947756353130154,0.2709039999999996,3.5
20.0,0.6,100.0,90.0,0.0,11.0,0.98,0.7782244897959127,0.98,0.5,1.7804616320963016,6.231615712337055,0.23733999999999977,3.5
16.0,0.6,100.0,90.0,0.0,12.0,0.96,0.7623083333333277,0.96,0.5,1.4465092771153532,5.062782469903735,0.26818399999999987,3.5
8.0,0.6,100.0,90.0,0.0,18.0,1.0,0.7746119999999937,1.0,0.5,1.3131439407266536,4.596003792543286,0.22538800000000003,3.5
16.0,0.6,100.0,90.0,0.0,10.0,0.94,0.7753765957446761,0.94,0.5,1.3856233689207405,4.849681791222594,0.27114599999999967,3.5
16.0,0.6,100.0,90.0,0.0,14.0,1.0,0.8004119999999947,1.0,0.5,1.5948153735270139,5.581853807344548,0.19958799999999996,3.5
12.0,0.6,100.0,90.0,0.0,18.0,0.98,0.7651836734693811,0.98,0.5,1.4987114094851124,5.245489933197893,0.25011999999999945,3.5
12.0,0.6,100.0,90.0,0.0,13.0,0.94,0.7799042553191428,0.94,0.5,1.7312669559762852,6.059434345917,0.2668899999999995,3.5
12.0,0.6,100.0,90.0,0.0,15.0,0.92,0.7696173913043424,0.92,0.5,1.4483431733176575,5.069201106611803,0.2919519999999989,3.5
4.0,0.6,100.0,90.0,0.0,17.0,0.98,0.8116755102040746,0.98,0.5,0.8225301900193008,2.8788556650675536,0.2045579999999998,3.5
