distribSd,finalTime,gravityDecay,nwClustCoef,nwComponents,nwInDegree,nwMeanFlow,nwOutDegree,overlapThreshold,relativeCost,totalCost,totalWaste,transportationCost
0.1,100.0,10.0,0.0,7.0,1.1,0.5864509090909081,1.1,0.0,2.2546929960393456,7.891425486137704,0.3549039999999996,3.5
0.1,100.0,10.0,0.008333333333333333,1.0,1.78,0.4566606741573023,1.78,0.0,5.901405666048381,2.950702833024189,0.18714399999999984,0.5
0.1,100.0,10.0,0.01,4.0,1.14,0.5938912280701744,1.14,0.0,2.91799550864755,10.21298428026642,0.32296399999999975,3.5
0.1,100.0,10.0,0.013333333333333332,1.0,1.76,0.47291931818181754,1.76,0.0,6.113474460733072,3.0567372303665366,0.16766199999999984,0.5
0.1,100.0,10.0,0.04333333333333334,1.0,1.74,0.48634137931034427,1.74,0.0,5.674461509368493,2.837230754684246,0.15376599999999999,0.5
0.1,100.0,10.0,0.01,5.0,1.3,0.5248969230769225,1.3,0.0,1.8001755030445132,6.300614260655795,0.31763399999999964,3.5
0.1,100.0,10.0,0.01,6.0,1.08,0.6154592592592585,1.08,0.0,2.013405047267779,7.046917665437225,0.3353039999999996,3.5
0.1,100.0,10.0,0.0,7.0,1.1,0.5866090909090899,1.1,0.0,2.3184402549986416,8.114540892495246,0.35472999999999955,3.5
0.1,100.0,10.0,0.035,1.0,1.86,0.4338860215053756,1.86,0.0,5.313286030751536,2.656643015375769,0.19297199999999987,0.5
0.1,100.0,10.0,0.026666666666666665,1.0,1.88,0.4416308510638291,1.88,0.0,5.777774912115392,2.888887456057697,0.16973399999999994,0.5
0.1,100.0,10.0,0.026666666666666665,1.0,1.86,0.4348129032258056,1.86,0.0,5.396249247579592,2.698124623789796,0.19124799999999983,0.5
0.1,100.0,10.0,0.056666666666666664,1.0,1.7,0.48306235294117555,1.7,0.0,6.147241699461114,3.0736208497305575,0.17879399999999981,0.5
0.1,100.0,10.0,0.04033333333333333,1.0,1.84,0.4557989130434775,1.84,0.0,5.0177058309220754,2.508852915461038,0.16132999999999995,0.5
0.1,100.0,10.0,0.021,1.0,1.72,0.4867930232558132,1.72,0.0,5.860131024625531,2.930065512312766,0.16271599999999986,0.5
0.1,100.0,10.0,0.037333333333333336,1.0,1.82,0.4575648351648346,1.82,0.0,6.352690134773241,3.1763450673866203,0.16723200000000002,0.5
0.1,100.0,10.0,0.03766666666666667,1.0,1.8,0.4508488888888882,1.8,0.0,5.237409363664067,2.618704681832033,0.18847200000000006,0.5
0.1,100.0,10.0,0.01,8.0,1.14,0.6268105263157885,1.14,0.0,2.5157607446908137,8.80516260641785,0.28543599999999963,3.5
0.1,100.0,10.0,0.012999999999999998,1.0,1.9,0.4440168421052624,1.9,0.0,5.483382456475068,2.741691228237533,0.156368,0.5
0.1,100.0,10.0,0.0,3.0,1.14,0.5962754385964903,1.14,0.0,2.066748457959997,7.233619602859988,0.3202459999999998,3.5
0.1,100.0,10.0,0.04333333333333334,1.0,1.8,0.4430455555555551,1.8,0.0,5.510673492772473,2.7553367463862353,0.20251799999999978,0.5
0.1,100.0,10.0,0.035333333333333335,1.0,1.9,0.4583189473684203,1.9,0.0,5.825881440374534,2.912940720187266,0.129194,0.5
0.1,100.0,10.0,0.021,1.0,1.72,0.47241860465116187,1.72,0.0,5.780690071298496,2.8903450356492466,0.18743999999999986,0.5
0.1,100.0,10.0,0.029999999999999995,1.0,1.8,0.4395022222222212,1.8,0.0,5.717137517143232,2.8585687585716175,0.20889599999999978,0.5
0.1,100.0,10.0,0.026666666666666665,1.0,1.74,0.44921379310344767,1.74,0.0,5.708401963006919,2.8542009815034604,0.2183679999999998,0.5
0.1,100.0,10.0,0.02333333333333333,1.0,1.82,0.4463912087912081,1.82,0.0,5.859236101364984,2.929618050682493,0.18756799999999996,0.5
0.1,100.0,10.0,0.026666666666666665,1.0,1.78,0.46103258426966226,1.78,0.0,6.5849431191140955,3.2924715595570473,0.179362,0.5
0.1,100.0,10.0,0.04666666666666666,1.0,1.66,0.48774939759036057,1.66,0.0,4.647648222723583,2.3238241113617915,0.1903359999999998,0.5
0.1,100.0,10.0,0.03666666666666667,2.0,1.72,0.46942209302325516,1.72,0.0,4.963908260307383,2.4819541301536923,0.19259399999999985,0.5
0.1,100.0,10.0,0.03833333333333334,2.0,1.86,0.4485967741935479,1.86,0.0,4.716361306211835,2.358180653105917,0.16560999999999992,0.5
0.1,100.0,10.0,0.02,2.0,1.7,0.4908435294117638,1.7,0.0,7.373573274877461,3.6867866374387304,0.16556599999999994,0.5
0.1,100.0,10.0,0.04,1.0,1.82,0.4770439560439552,1.82,0.0,4.694302452971708,2.347151226485854,0.13177999999999992,0.5
0.1,100.0,10.0,0.023333333333333334,1.0,1.76,0.4655465909090901,1.76,0.0,5.881915490740416,2.9409577453702074,0.1806379999999999,0.5
0.1,100.0,10.0,0.01,3.0,1.14,0.6231438596491218,1.14,0.0,2.165611314419852,7.579639600469485,0.2896159999999999,3.5
0.1,100.0,10.0,0.013000000000000001,1.0,1.86,0.4471698924731177,1.86,0.0,5.693141573762412,2.8465707868812067,0.16826399999999989,0.5
0.1,100.0,10.0,0.026666666666666665,1.0,1.66,0.476507228915662,1.66,0.0,5.452525637921004,2.726262818960502,0.20899799999999985,0.5
0.1,100.0,10.0,0.02,1.0,1.84,0.4564728260869558,1.84,0.0,6.358296499927542,3.179148249963769,0.16008999999999987,0.5
0.1,100.0,10.0,0.065,1.0,1.8,0.43189555555555487,1.8,0.0,4.769690930415456,2.3848454652077287,0.22258799999999998,0.5
0.1,100.0,10.0,0.042,1.0,1.88,0.4439542553191484,1.88,0.0,6.732841011285567,3.3664205056427843,0.16536599999999996,0.5
0.1,100.0,10.0,0.04666666666666666,1.0,1.78,0.45619887640449386,1.78,0.0,5.355713553767607,2.6778567768838046,0.18796599999999994,0.5
0.1,100.0,10.0,0.008333333333333333,1.0,1.86,0.41633870967741865,1.86,0.0,4.30260265316191,2.151301326580956,0.22560999999999992,0.5
0.1,100.0,10.0,0.016666666666666666,1.0,1.82,0.3986241758241752,1.82,0.0,4.35567190481328,2.1778359524066397,0.27450399999999964,0.5
0.1,100.0,10.0,0.013333333333333332,1.0,1.7,0.44532941176470514,1.7,0.0,5.523754907926901,2.761877453963451,0.24293999999999968,0.5
0.1,100.0,10.0,0.023333333333333334,1.0,1.92,0.431794791666666,1.92,0.0,5.332351565597662,2.6661757827988306,0.17095399999999988,0.5
0.1,100.0,10.0,0.03666666666666667,1.0,1.88,0.44216489361702077,1.88,0.0,5.414905977328399,2.7074529886641994,0.16872999999999996,0.5
0.1,100.0,10.0,0.013333333333333332,1.0,1.88,0.4541851063829781,1.88,0.0,6.469007139289949,3.234503569644975,0.14613199999999998,0.5
0.1,100.0,10.0,0.013333333333333332,1.0,1.82,0.4486373626373619,1.82,0.0,5.8128521999193135,2.9064260999596554,0.18348000000000003,0.5
0.1,100.0,10.0,0.06733333333333333,2.0,1.8,0.4342911111111107,1.8,0.0,4.127004722168169,2.0635023610840846,0.21827599999999975,0.5
0.1,100.0,10.0,0.013333333333333332,4.0,1.2,0.5762616666666656,1.2,0.0,2.6847785935781654,9.396725077523577,0.3084859999999996,3.5
0.1,100.0,10.0,0.019999999999999997,1.0,1.78,0.4155382022471903,1.78,0.0,5.130287354384567,2.5651436771922826,0.2603419999999998,0.5
0.1,100.0,10.0,0.028333333333333332,1.0,1.9,0.4326778947368415,1.9,0.0,5.597939366170733,2.798969683085367,0.17791199999999996,0.5
0.1,100.0,10.0,0.05533333333333333,1.0,1.82,0.45431758241758186,1.82,0.0,6.35217022486643,3.1760851124332152,0.17314200000000002,0.5
0.1,100.0,10.0,0.028333333333333332,1.0,1.74,0.4401724137931028,1.74,0.0,5.614419154511623,2.807209577255812,0.23409999999999975,0.5
0.1,100.0,10.0,0.03333333333333333,1.0,1.72,0.4528267441860457,1.72,0.0,5.142934748076947,2.571467374038472,0.22113799999999986,0.5
0.1,100.0,10.0,0.018333333333333333,1.0,1.82,0.439247252747252,1.82,0.0,6.368435667979924,3.18421783398996,0.20056999999999994,0.5
0.1,100.0,10.0,0.05,1.0,1.78,0.48575168539325764,1.78,0.0,5.9269866799325195,2.9634933399662593,0.1353619999999999,0.5
0.1,100.0,10.0,0.03333333333333333,1.0,1.8,0.4517477777777772,1.8,0.0,4.714325576515386,2.357162788257693,0.1868539999999999,0.5
0.1,100.0,10.0,0.01,4.0,1.2,0.5709266666666656,1.2,0.0,2.314323783392596,8.100133241874085,0.3148879999999997,3.5
0.1,100.0,10.0,0.04566666666666666,1.0,1.84,0.4616478260869557,1.84,0.0,6.0342650689056985,3.017132534452849,0.15056799999999998,0.5
0.1,100.0,10.0,0.017666666666666667,1.0,1.8,0.4576411111111105,1.8,0.0,6.021190515845757,3.0105952579228807,0.1762459999999999,0.5
0.1,100.0,10.0,0.03333333333333333,1.0,1.88,0.44689999999999935,1.88,0.0,5.6339981503098,2.8169990751549,0.15982799999999997,0.5
0.6,100.0,85.0,0.0,14.0,0.96,0.8078229166666525,0.96,0.5,2.0867821219996814,7.303737426998889,0.22448999999999963,3.5
0.6,100.0,85.0,0.0,14.0,0.98,0.8132897959183528,0.98,0.5,1.4195581692645602,4.968453592425962,0.20297599999999968,3.5
0.6,100.0,85.0,0.0,11.0,0.92,0.8264391304347679,0.92,0.5,1.5996075745816571,5.598626511035797,0.2396759999999993,3.5
0.6,100.0,85.0,0.0,11.0,0.94,0.8291893617021132,0.94,0.5,2.0227089174552257,7.07948121109329,0.22056199999999962,3.5
0.6,100.0,85.0,0.0,12.0,0.94,0.8255893617021126,0.94,0.5,1.982339290128623,6.938187515450181,0.22394599999999926,3.5
0.6,100.0,85.0,0.0,11.0,0.92,0.8268565217391156,0.92,0.5,1.7705501515199735,6.196925530319907,0.2392919999999995,3.5
0.6,100.0,85.0,0.0,10.0,0.94,0.8431744680850918,0.94,0.5,1.905082799755458,6.667789799144105,0.2074159999999993,3.5
0.6,100.0,85.0,0.0,8.0,0.92,0.8158282608695506,0.92,0.5,1.624480044241682,5.685680154845887,0.24943799999999874,3.5
0.6,100.0,85.0,0.0,9.0,0.92,0.8060478260869423,0.92,0.5,1.793605514413848,6.27761930044847,0.25843599999999894,3.5
0.6,100.0,85.0,0.0,11.0,0.94,0.8097787234042411,0.94,0.5,1.7642395130843664,6.174838295795283,0.23880799999999908,3.5
0.6,100.0,85.0,0.0,11.0,0.92,0.8320326086956374,0.92,0.5,1.7514331244975645,6.130015935741476,0.2345299999999995,3.5
0.6,100.0,85.0,0.0,11.0,0.92,0.8274826086956375,0.92,0.5,1.9470766145647067,6.814768150976473,0.2387159999999993,3.5
0.6,100.0,85.0,0.0,12.0,0.96,0.8239104166666514,0.96,0.5,2.002759357564998,7.00965775147749,0.20904599999999982,3.5
0.6,100.0,85.0,0.0,9.0,0.94,0.8418489361701982,0.94,0.5,1.5441619467725092,5.4045668137037834,0.20866199999999943,3.5
0.6,100.0,85.0,0.0,8.0,0.96,0.8368520833333188,0.96,0.5,2.079238858205345,7.277336003718707,0.19662199999999963,3.5
0.6,100.0,85.0,0.0,8.0,0.98,0.823626530612229,0.98,0.5,2.0136887507998917,7.047910627799623,0.19284599999999968,3.5
0.6,100.0,85.0,0.0,14.0,0.96,0.8140520833333188,0.96,0.5,1.7863174933897787,6.252111226864227,0.21850999999999945,3.5
0.6,100.0,85.0,0.0,11.0,0.98,0.8263877551020261,0.98,0.5,2.1520634851920772,7.532222198172271,0.19013999999999986,3.5
0.6,100.0,85.0,0.0,11.0,0.96,0.8235229166666514,0.96,0.5,1.7719309702814854,6.2017583959852,0.2094179999999998,3.5
0.6,100.0,85.0,0.0,10.0,0.96,0.821758333333319,0.96,0.5,1.7051340848492669,5.967969296972434,0.21111199999999972,3.5
0.6,100.0,85.0,0.0,9.0,0.96,0.8187770833333183,0.96,0.5,1.9201836219614352,6.720642676865024,0.21397399999999933,3.5
0.6,100.0,85.0,0.0,12.0,0.98,0.8036734693877408,0.98,0.5,1.6934923816073104,5.927223335625587,0.21239999999999967,3.5
0.6,100.0,85.0,0.0,13.0,0.9,0.8321022222222075,0.9,0.5,1.842111435812581,6.447390025344037,0.25110799999999867,3.5
0.6,100.0,85.0,0.0,12.0,0.96,0.823231249999985,0.96,0.5,2.0630038265052706,7.220513392768446,0.20969799999999958,3.5
0.6,100.0,85.0,0.0,11.0,0.96,0.8316083333333183,0.96,0.5,1.9118018637677188,6.691306523187014,0.20165599999999947,3.5
0.6,100.0,85.0,0.0,10.0,0.94,0.8267914893616878,0.94,0.5,1.7788129336770142,6.225845267869549,0.22281599999999957,3.5
0.6,100.0,85.0,0.0,9.0,0.94,0.8057765957446664,0.94,0.5,1.7511719962430032,6.12910198685051,0.24256999999999912,3.5
