distribSd,finalTime,gravityDecay,nwClustCoef,nwComponents,nwInDegree,nwMeanFlow,nwOutDegree,overlapThreshold,totalCost,totalWaste,transportationCost
0.05,155.0,10.0,0.04433333333333334,1.0,3.1,0.23768193548387087,3.1,0.0,0.0,13.159299999999991,0.0
0.05,159.0,10.0,0.05937301587301587,1.0,3.18,0.25476415094339594,3.18,0.0,0.0,9.492499999999998,0.0
0.05,160.0,10.0,0.09547619047619045,1.0,3.18,0.22916037735849049,3.18,0.0,0.0,13.563499999999992,0.0
0.05,153.0,10.0,0.019999999999999997,2.0,1.48,0.4831297297297293,1.48,0.0,5.14488335240979,14.248399999999991,0.5
0.05,154.0,10.0,0.023333333333333334,2.0,1.52,0.4864960526315786,1.52,0.0,5.135470824435613,13.026299999999992,0.5
0.05,164.0,10.0,0.06661904761904762,1.0,3.28,0.2409213414634144,3.28,0.0,0.0,10.488899999999996,0.0
0.05,164.0,10.0,0.06252380952380951,1.0,3.28,0.24484146341463403,3.28,0.0,0.0,9.845999999999997,0.0
0.05,162.0,10.0,0.04861111111111112,1.0,3.18,0.23719056603773564,3.18,0.0,0.0,12.286699999999993,0.0
0.05,161.0,10.0,0.07533333333333334,1.0,3.2,0.24428124999999978,3.2,0.0,0.0,10.915,0.0
0.05,163.0,10.0,0.0740952380952381,1.0,3.26,0.24821533742331275,3.26,0.0,0.0,9.540900000000002,0.0
0.05,160.0,10.0,0.01,1.0,1.52,0.5129513157894734,1.52,0.0,4.447344570971233,11.015699999999992,0.5
0.05,163.0,10.0,0.06676190476190476,1.0,3.26,0.26362883435582796,3.26,0.0,0.0,7.0284999999999975,0.0
0.05,164.0,10.0,0.02,1.0,1.54,0.4879675324675319,1.54,0.0,5.400541498014933,12.426499999999994,0.5
0.05,174.0,10.0,0.07304761904761906,1.0,3.46,0.2428242774566471,3.46,0.0,0.0,7.991399999999991,0.0
0.05,163.0,10.0,0.022000000000000002,1.0,1.76,0.473495454545454,1.76,0.0,5.635035172215104,8.332400000000002,0.5
0.05,154.0,10.0,0.0,1.0,1.48,0.49927567567567527,1.48,0.0,4.488768799627804,13.053600000000001,0.5
0.05,155.0,10.0,0.0,1.0,1.5,0.5090266666666665,1.5,0.0,5.8691110545328575,11.822999999999997,0.5
0.05,152.0,10.0,0.03133333333333334,1.0,3.02,0.24123178807947002,3.02,0.0,0.0,13.573999999999995,0.0
0.05,166.0,10.0,0.03828571428571428,1.0,3.3,0.253371515151515,3.3,0.0,0.0,8.193699999999994,0.0
0.05,151.0,10.0,0.013333333333333332,1.0,1.5,0.5065346666666661,1.5,0.0,5.434549438983239,12.009899999999996,0.5
0.05,162.0,10.0,0.03,1.0,1.58,0.4803164556962022,1.58,0.0,5.209483497356962,12.054999999999994,0.5
0.05,156.0,10.0,0.013333333333333332,1.0,1.62,0.49558271604938214,1.62,0.0,5.7318809174962455,9.857799999999994,0.5
0.05,164.0,10.0,0.0413015873015873,1.0,3.28,0.25403719512195116,3.28,0.0,0.0,8.337899999999994,0.0
0.05,171.0,10.0,0.03540476190476191,1.0,3.42,0.2383660818713448,3.42,0.0,0.0,9.239399999999998,0.0
0.05,163.0,10.0,0.06473809523809523,1.0,3.14,0.25572929936305705,3.14,0.0,0.0,9.850499999999993,0.0
0.05,167.0,10.0,0.04,1.0,1.7,0.46873882352941115,1.7,0.0,5.390131041959135,10.157199999999996,0.5
0.05,169.0,10.0,0.0016666666666666666,1.0,1.64,0.5005414634146335,1.64,0.0,5.8043008829913205,8.955599999999997,0.5
0.05,153.0,10.0,0.08899999999999997,1.0,3.06,0.22740326797385613,3.06,0.0,0.0,15.207299999999991,0.0
0.05,162.0,10.0,0.0595952380952381,1.0,3.24,0.24665740740740724,3.24,0.0,0.0,10.041499999999996,0.0
0.05,172.0,10.0,0.08457142857142858,1.0,3.42,0.23816198830409355,3.42,0.0,0.0,9.274299999999998,0.0
0.05,164.0,10.0,0.02333333333333333,1.0,1.64,0.4679829268292677,1.64,0.0,5.488535795543949,11.625399999999994,0.5
0.05,161.0,10.0,0.06576190476190476,1.0,3.22,0.25046273291925436,3.22,0.0,0.0,9.675499999999996,0.0
0.05,166.0,10.0,0.013333333333333332,1.0,1.66,0.4464698795180719,1.66,0.0,3.9959967966414114,12.942999999999993,0.5
0.05,182.0,10.0,0.08257142857142856,1.0,3.64,0.2451593406593405,3.64,0.0,0.0,5.380999999999997,0.0
0.05,167.0,10.0,0.07933333333333331,1.0,3.3,0.23626848484848456,3.3,0.0,0.0,11.015699999999997,0.0
0.05,169.0,10.0,0.016666666666666666,2.0,1.62,0.5178530864197529,1.62,0.0,6.225257145626065,8.053899999999999,0.5
0.05,172.0,10.0,0.036000000000000004,1.0,3.42,0.2345526315789473,3.42,0.0,0.0,9.891499999999995,0.0
0.05,165.0,10.0,0.03214285714285715,1.0,3.3,0.25708303030303015,3.3,0.0,0.0,7.581299999999996,0.0
0.05,168.0,10.0,0.05426190476190475,1.0,3.36,0.25624523809523775,3.36,0.0,0.0,6.9508,0.0
0.05,168.0,10.0,0.07783333333333334,1.0,3.36,0.2405607142857142,3.36,0.0,0.0,9.585799999999999,0.0
0.55,145.0,90.0,0.0,14.0,0.92,0.7600869565217264,0.92,0.5,9.750741231569764,15.035999999999952,4.0
0.55,175.0,90.0,0.0,13.0,0.9,0.7691133333333214,0.9,0.5,9.541091861150717,15.389899999999935,4.0
0.55,171.0,90.0,0.0,16.0,0.96,0.7943583333333208,0.96,0.5,11.61209923902042,11.870799999999974,4.0
0.55,161.0,90.0,0.0,17.0,0.96,0.7675083333333211,0.96,0.5,11.524902746538759,13.15959999999996,4.0
0.55,164.0,90.0,0.0,16.0,0.92,0.798349999999987,0.92,0.5,11.197940299308735,13.27589999999997,4.0
0.55,163.0,90.0,0.0,14.0,0.92,0.7773260869565088,0.92,0.5,10.713809484237125,14.242999999999956,4.0
0.55,171.0,90.0,0.0,17.0,0.88,0.7979272727272594,0.88,0.5,8.787181492004864,14.891199999999921,4.0
0.55,165.0,90.0,0.0,14.0,0.92,0.782843478260857,0.92,0.5,11.641332671182838,13.989199999999967,4.0
0.55,158.0,90.0,0.0,16.0,0.94,0.788893617021263,0.94,0.5,9.799997298811382,12.921999999999953,4.0
0.55,162.0,90.0,0.0,9.0,0.94,0.8003276595744546,0.94,0.5,12.764164838700346,12.384599999999967,4.0
0.55,157.0,90.0,0.0,16.0,0.98,0.7997816326530484,0.98,0.5,12.235664049690602,10.810699999999995,4.0
0.55,156.0,90.0,0.0,17.0,0.92,0.797686956521726,0.92,0.5,9.880924077113379,13.306399999999952,4.0
