distribSd,finalTime,gravityDecay,nwClustCoef,nwComponents,nwInDegree,nwMeanFlow,nwOutDegree,overlapThreshold,relativeCost,totalCost,totalWaste,transportationCost
0.1,100.0,10.0,0.03666666666666667,1.0,1.78,0.4766280898876396,1.78,0.0,6.319783696667241,3.1598918483336202,0.15160199999999993,0.5
0.1,100.0,10.0,0.011666666666666665,1.0,1.84,0.46666195652173825,1.84,0.0,6.8824373055026165,3.4412186527513087,0.14134200000000002,0.5
0.1,100.0,10.0,0.02,6.0,1.08,0.5932425925925918,1.08,0.0,2.3013695970483647,8.054793589669275,0.35929799999999973,3.5
0.1,100.0,10.0,0.039999999999999994,1.0,1.76,0.4717613636363632,1.76,0.0,6.378358038492571,3.1891790192462848,0.16969999999999996,0.5
0.1,100.0,10.0,0.02333333333333333,1.0,1.82,0.43831428571428516,1.82,0.0,6.399703447383014,3.1998517236915065,0.20226799999999978,0.5
0.1,100.0,10.0,0.012,1.0,1.74,0.43135517241379256,1.74,0.0,5.936621972659452,2.968310986329727,0.2494419999999999,0.5
0.1,100.0,10.0,0.03333333333333333,1.0,1.64,0.48741463414634056,1.64,0.0,4.7796162556756885,2.3898081278378434,0.2006399999999999,0.5
0.1,100.0,10.0,0.04499999999999999,1.0,1.8,0.4839055555555546,1.8,0.0,6.994094835813116,3.497047417906559,0.12896999999999997,0.5
0.1,100.0,10.0,0.03666666666666667,1.0,1.76,0.4601499999999994,1.76,0.0,7.332293466175534,3.6661467330877673,0.19013599999999983,0.5
0.1,100.0,10.0,0.04333333333333333,1.0,1.88,0.451842553191489,1.88,0.0,6.8993970061457555,3.449698503072879,0.15053599999999995,0.5
0.1,100.0,10.0,0.055,1.0,1.72,0.48262906976744124,1.72,0.0,7.3202617506137,3.66013087530685,0.169878,0.5
0.1,100.0,10.0,0.04,1.0,1.56,0.4579935897435891,1.56,0.0,5.832512219535729,2.916256109767863,0.28552999999999956,0.5
0.1,100.0,10.0,0.026666666666666665,1.0,1.74,0.4524264367816085,1.74,0.0,6.558391736279895,3.2791958681399485,0.21277799999999972,0.5
0.1,100.0,10.0,0.008333333333333333,1.0,1.86,0.4601290322580637,1.86,0.0,6.644277026279964,3.3221385131399823,0.14415999999999995,0.5
0.1,100.0,10.0,0.01,4.0,1.14,0.6046578947368413,1.14,0.0,2.6170588537551915,9.159705988143173,0.3106899999999997,3.5
0.1,100.0,10.0,0.02166666666666667,2.0,1.6,0.46700499999999934,1.6,0.0,6.5804212696915,3.290210634845753,0.25279199999999974,0.5
0.1,100.0,10.0,0.03666666666666667,1.0,1.82,0.44626153846153765,1.82,0.0,7.263762976952798,3.6318814884763997,0.18780399999999997,0.5
0.1,100.0,10.0,0.027666666666666666,1.0,1.8,0.4498733333333326,1.8,0.0,6.558965375581333,3.2794826877906678,0.19022799999999987,0.5
0.1,100.0,10.0,0.021666666666666664,1.0,1.84,0.44635326086956445,1.84,0.0,6.061086458782739,3.0305432293913723,0.17871000000000006,0.5
0.1,100.0,10.0,0.03833333333333334,1.0,1.76,0.45198181818181743,1.76,0.0,5.379640395414675,2.6898201977073373,0.20451200000000003,0.5
0.1,100.0,10.0,0.028333333333333332,1.0,1.82,0.4170439560439555,1.82,0.0,5.7693016895926235,2.884650844796311,0.24097999999999978,0.5
0.1,100.0,10.0,0.01,6.0,1.1,0.5797799999999992,1.1,0.0,2.0225252323782463,7.078838313323861,0.36224199999999973,3.5
0.1,100.0,10.0,0.06666666666666667,1.0,1.82,0.454381318681318,1.82,0.0,8.110257706216156,4.055128853108079,0.17302599999999996,0.5
0.1,100.0,10.0,0.06999999999999999,1.0,1.68,0.48665833333333264,1.68,0.0,6.600681613395409,3.3003408066977045,0.18241399999999977,0.5
0.1,100.0,10.0,0.011000000000000001,1.0,1.78,0.4366134831460668,1.78,0.0,6.210114818551046,3.1050574092755228,0.2228279999999998,0.5
0.1,100.0,10.0,0.01,1.0,1.7,0.45338352941176374,1.7,0.0,8.369830909677441,4.184915454838721,0.22924799999999998,0.5
0.1,100.0,10.0,0.003333333333333333,1.0,1.72,0.4875139534883713,1.72,0.0,6.4640114843768846,3.2320057421884436,0.1614759999999999,0.5
0.1,100.0,10.0,0.056333333333333326,1.0,1.88,0.45096276595744617,1.88,0.0,4.4247314599620235,2.212365729981012,0.15218999999999988,0.5
0.1,100.0,10.0,0.01,3.0,1.22,0.5929311475409826,1.22,0.0,2.4678573095240544,8.637500583334191,0.27662399999999976,3.5
0.1,100.0,10.0,0.02333333333333333,1.0,1.76,0.4406965909090903,1.76,0.0,7.283112127255671,3.6415560636278355,0.22437399999999985,0.5
